user_id,payment_reuse_count,ip_reuse_count,ip_subnet_reuse_count,device_reuse_count,device_signups_last_hour,payment_signups_last_24h,device_signups_last_24h,subnet_signups_last_24h,name_similarity_score,is_disposable_email_domain,is_free_email_domain,email_local_has_digits,email_local_has_plus_tag,payment_ip_country_mismatch,graph_component_size,attrs_reused_count,signup_hour,signup_hour,is_odd_hour,area_freq,device_os_freq,is_repeat_user
u_9070,0,0,0,0,0,0,0,0,0.0,1,0,1,1,0,1,0,0,0,1,0.07541266587549897,0.20347394540942929,1
u_6460,0,0,0,0,0,0,0,0,0.455,0,0,0,0,0,1,0,0,0,1,0.06991045420217931,0.2013162153414608,0
u_9071,1,0,1,0,0,1,0,1,0.778,1,0,1,1,0,3,2,1,1,1,0.07077354622936671,0.20347394540942929,1
u_987,0,0,0,0,0,0,0,0,0.316,0,1,0,0,0,1,0,1,1,1,0.07541266587549897,0.2013162153414608,0
u_602,0,0,0,0,0,0,0,0,0.462,0,1,1,0,0,1,0,1,1,1,0.07044988671917143,0.1958140036681411,0
u_9073,2,1,2,1,1,2,1,2,0.952,1,0,1,1,0,4,4,1,1,1,0.07077354622936671,0.20347394540942929,1
u_9072,3,2,3,0,0,3,0,3,1.0,1,0,0,0,0,4,3,1,1,1,0.07077354622936671,0.20347394540942929,1
u_9075,0,0,4,0,0,0,0,4,1.0,1,0,0,0,0,5,2,2,2,1,0.07077354622936671,0.20347394540942929,1
u_8498,0,0,0,0,0,0,0,0,0.632,0,1,0,0,0,1,0,2,2,1,0.07541266587549897,0.2013162153414608,1
u_1083,0,0,0,0,0,0,0,0,0.417,0,0,0,0,0,1,0,3,3,1,0.06494767504585176,0.20163987485165605,0
u_8499,1,0,1,1,0,1,1,1,1.0,0,0,1,0,0,3,4,3,3,1,0.07541266587549897,0.20163987485165605,1
u_1549,0,0,0,0,0,0,0,0,0.435,0,1,0,0,0,1,0,3,3,1,0.07411802783471788,0.20163987485165605,0
u_3543,0,0,0,0,0,0,0,0,0.333,0,0,1,0,0,1,0,3,3,1,0.07411802783471788,0.20163987485165605,0
u_8501,2,1,2,2,0,2,2,2,1.0,0,1,0,0,0,3,4,4,4,1,0.07541266587549897,0.2013162153414608,1
u_8500,0,0,3,0,0,0,0,3,1.0,0,1,1,1,0,3,2,4,4,1,0.07541266587549897,0.2013162153414608,1
u_9074,4,0,5,2,0,4,2,5,1.0,1,0,1,1,0,7,4,5,5,1,0.07077354622936671,0.20347394540942929,1
u_6300,0,0,0,0,0,0,0,0,0.385,0,1,0,0,0,1,0,5,5,1,0.07411802783471788,0.20163987485165605,0
u_3028,0,0,0,0,0,0,0,0,0.667,0,1,0,0,0,1,0,5,5,1,0.07055777322256986,0.2013162153414608,0
