user_id,payment_reuse_count,ip_reuse_count,ip_subnet_reuse_count,device_reuse_count,device_signups_last_hour,payment_signups_last_24h,device_signups_last_24h,subnet_signups_last_24h,name_similarity_score,is_disposable_email_domain,is_free_email_domain,email_local_has_digits,email_local_has_plus_tag,payment_ip_country_mismatch,payment_ip_country_mismatch.1,graph_component_size,attrs_reused_count,signup_hour,signup_hour.1,is_odd_hour,area_freq,device_os_freq,is_repeat_user,risk_score,verdict
u_3172,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0.0709350032390412,0.1994169725761174,0,18.795091115865958,REPEAT / LIKELY ABUSE
u_8611,0,0,0,0,0,0,0,0,0.24,1,0,1,1,0,0,1,0,0,0,1,0.071798747570719,0.1976894839127618,1,100.0,REPEAT / LIKELY ABUSE
u_8612,1,0,1,0,0,1,0,1,0.778,1,0,1,1,0,0,3,2,1,1,1,0.0643489527099978,0.1976894839127618,1,100.0,REPEAT / LIKELY ABUSE
u_8614,2,1,2,1,1,2,1,2,0.952,1,0,1,1,0,0,4,4,1,1,1,0.0643489527099978,0.1976894839127618,1,100.0,REPEAT / LIKELY ABUSE
u_8613,3,2,3,0,0,3,0,3,1.0,1,0,0,0,0,0,4,3,1,1,1,0.0643489527099978,0.1976894839127618,1,100.0,REPEAT / LIKELY ABUSE
u_8616,0,0,4,0,0,0,0,4,1.0,1,0,0,0,0,0,5,2,2,2,1,0.0643489527099978,0.1976894839127618,1,100.0,REPEAT / LIKELY ABUSE
u_8039,0,0,0,0,0,0,0,0,0.692,0,1,0,0,0,0,1,0,2,2,1,0.0739581083999136,0.1993090045346577,1,3.845035733781378,NEW / GENUINE
u_8040,1,0,1,1,0,1,1,1,1.0,0,0,1,0,0,0,3,4,3,3,1,0.0739581083999136,0.2020082055711509,1,100.0,REPEAT / LIKELY ABUSE
u_9232,0,0,0,0,0,0,0,0,0.222,1,0,0,0,0,0,1,0,3,3,1,0.0681278341610883,0.1994169725761174,1,100.0,REPEAT / LIKELY ABUSE
u_3938,0,0,0,0,0,0,0,0,0.429,0,0,0,0,0,0,1,0,4,4,1,0.0739581083999136,0.1976894839127618,0,4.777521798441356,NEW / GENUINE
u_8042,2,1,2,2,0,2,2,2,1.0,0,1,0,0,0,0,3,4,4,4,1,0.0739581083999136,0.1993090045346577,1,100.0,REPEAT / LIKELY ABUSE
u_8041,0,0,3,0,0,0,0,3,1.0,0,1,1,1,0,0,3,2,4,4,1,0.0739581083999136,0.1993090045346577,1,100.0,REPEAT / LIKELY ABUSE
u_9233,0,0,1,0,0,0,0,1,0.667,0,1,1,1,0,0,3,1,4,4,1,0.0750377888145109,0.1994169725761174,1,100.0,REPEAT / LIKELY ABUSE
u_2412,0,0,0,0,0,0,0,0,0.316,0,1,0,0,0,0,1,0,4,4,1,0.0736342042755344,0.1993090045346577,0,4.777521798441358,NEW / GENUINE
u_3148,0,0,0,0,0,0,0,0,0.471,0,0,1,0,0,0,1,0,5,5,1,0.0736342042755344,0.1993090045346577,0,4.315983336902894,NEW / GENUINE
u_8615,4,0,5,2,0,4,2,5,1.0,1,0,1,1,0,0,7,4,5,5,1,0.0643489527099978,0.1976894839127618,1,100.0,REPEAT / LIKELY ABUSE
u_9234,1,0,2,1,0,1,1,2,1.0,0,0,1,0,0,0,5,4,6,6,0,0.0750377888145109,0.1994169725761174,1,100.0,REPEAT / LIKELY ABUSE
u_210,0,0,0,0,0,0,0,0,0.476,0,0,0,0,0,0,1,0,6,6,0,0.0750377888145109,0.1976894839127618,0,5.122906413825971,NEW / GENUINE
u_66,0,0,0,0,0,0,0,0,0.696,0,1,0,0,0,0,1,0,7,7,0,0.0684517382854675,0.1993090045346577,0,5.357151016172539,NEW / GENUINE
u_487,0,0,0,0,0,0,0,0,0.667,0,1,0,0,0,0,1,0,8,8,0,0.0736342042755344,0.1993090045346577,0,3.382557750263615,NEW / GENUINE
u_4774,0,0,0,0,0,0,0,0,0.385,0,1,0,0,0,0,1,0,8,8,0,0.0736342042755344,0.2020082055711509,0,4.180598721518279,NEW / GENUINE
u_2243,0,0,0,0,0,0,0,0,0.75,0,1,1,0,0,0,1,0,9,9,0,0.0736342042755344,0.1976894839127618,0,5.502716796710873,SUSPICIOUS
u_1573,0,0,0,0,0,0,0,0,0.421,0,0,1,0,0,0,1,0,11,11,0,0.0730943640682358,0.1994169725761174,0,4.777521798441356,NEW / GENUINE
u_3280,0,0,0,0,0,0,0,0,0.417,0,1,1,0,0,0,1,0,11,11,0,0.0739581083999136,0.1994169725761174,0,4.777521798441356,NEW / GENUINE
u_914,0,0,0,0,0,0,0,0,0.476,0,1,0,0,0,0,1,0,11,11,0,0.0739581083999136,0.1976894839127618,0,5.436862457782015,NEW / GENUINE
u_5707,0,0,0,0,0,0,0,0,0.615,0,1,0,0,0,0,1,0,12,12,0,0.0709350032390412,0.1993090045346577,0,4.777521798441356,NEW / GENUINE
u_8056,0,0,0,0,0,0,0,0,0.609,0,1,1,1,0,0,1,0,12,12,0,0.0755776290218095,0.201576333405312,1,100.0,REPEAT / LIKELY ABUSE
u_8057,0,0,1,0,0,0,0,1,0.952,1,0,1,0,0,0,3,2,12,12,0,0.0755776290218095,0.201576333405312,1,100.0,REPEAT / LIKELY ABUSE
u_2111,0,0,0,0,0,0,0,0,0.4,0,1,0,0,1,1,1,0,12,12,0,0.0739581083999136,0.1976894839127618,0,4.315983336902894,NEW / GENUINE
u_1721,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1,0,13,13,0,0.0684517382854675,0.1994169725761174,0,1.9692942109436957,NEW / GENUINE
u_2295,0,0,0,0,0,0,0,0,0.4,0,1,1,0,0,0,1,0,13,13,0,0.0643489527099978,0.201576333405312,0,5.7540693602973665,SUSPICIOUS
u_8060,1,0,2,0,0,1,0,2,0.778,0,1,1,1,1,1,5,2,14,14,0,0.0723385877780177,0.201576333405312,1,100.0,REPEAT / LIKELY ABUSE
u_3455,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,14,14,0,0.071798747570719,0.1976894839127618,0,5.258291029210587,NEW / GENUINE
u_3088,0,0,0,0,0,0,0,0,0.435,0,0,0,0,0,0,1,0,14,14,0,0.0739581083999136,0.1976894839127618,0,4.777521798441356,NEW / GENUINE
u_8058,0,0,3,0,0,0,0,3,1.0,0,0,1,0,0,0,6,2,14,14,0,0.0755776290218095,0.201576333405312,1,100.0,REPEAT / LIKELY ABUSE
u_8059,2,1,4,1,0,2,1,4,1.0,0,0,1,1,0,0,8,4,15,15,0,0.0755776290218095,0.201576333405312,1,100.0,REPEAT / LIKELY ABUSE
u_5411,0,0,0,0,0,0,0,0,0.583,0,0,0,0,0,0,1,0,15,15,0,0.0739581083999136,0.1993090045346577,0,4.642137183056741,NEW / GENUINE
u_2140,0,0,0,0,0,0,0,0,0.8,0,1,1,0,0,0,1,0,15,15,0,0.0723385877780177,0.1976894839127618,0,5.436862457782015,NEW / GENUINE
u_6216,0,0,0,0,0,0,0,0,0.5,0,1,0,0,1,1,1,0,15,15,0,0.0755776290218095,0.1993090045346577,0,4.315983336902894,NEW / GENUINE
u_1537,0,0,0,0,0,0,0,0,0.696,0,1,0,0,0,0,1,0,15,15,0,0.0755776290218095,0.201576333405312,0,2.82162436254392,NEW / GENUINE
u_6241,0,0,0,0,0,0,0,0,0.75,0,1,0,0,0,0,1,0,16,16,0,0.071798747570719,0.201576333405312,0,1.507755749405234,NEW / GENUINE
u_4992,0,0,0,0,0,0,0,0,0.667,0,1,0,0,1,1,1,0,17,17,0,0.0750377888145109,0.1994169725761174,0,4.180598721518279,NEW / GENUINE
u_4620,0,0,0,0,0,0,0,0,0.519,0,0,0,0,0,0,1,0,17,17,0,0.0750377888145109,0.201576333405312,0,2.0696286591042306,NEW / GENUINE
u_5227,0,0,0,0,0,0,0,0,0.786,0,1,0,0,0,0,1,0,17,17,0,0.0739581083999136,0.2020082055711509,0,1.2000634417129263,NEW / GENUINE
u_4564,0,0,0,0,0,0,0,0,0.522,0,1,0,0,0,0,1,0,20,20,0,0.0755776290218095,0.1994169725761174,0,4.777521798441356,NEW / GENUINE
u_3587,0,0,0,0,0,0,0,0,0.571,0,0,0,0,0,0,1,0,21,21,0,0.0736342042755344,0.1993090045346577,0,4.180598721518279,NEW / GENUINE
