feature,importance
payment_reuse_count,1.0
ip_reuse_count,1.0
ip_subnet_reuse_count,1.0
device_reuse_count,1.0
device_signups_last_hour,1.0
payment_signups_last_24h,1.0
device_signups_last_24h,1.0
subnet_signups_last_24h,1.0
name_similarity_score,1.0
is_disposable_email_domain,1.0
is_free_email_domain,1.0
email_local_has_digits,1.0
email_local_has_plus_tag,1.0
payment_ip_country_mismatch,1.0
graph_component_size,1.0
attrs_reused_count,1.0
signup_hour,1.0
is_odd_hour,1.0
area_freq,1.0
device_os_freq,1.0
